timestamp,x,y,z
137442900,-58,-13,-1022
137942900,-44,-58,-1022
138442900,117,-17,-989
138942900,128,154,-1036
139442900,-80,156,-1050
139942900,-121,60,-1044
140442900,-37,-3,-999
140942900,-46,-39,-1059
141519800,-17,-48,-987
142019800,144,37,-972
142519800,99,179,-1079
143019800,-173,107,-1026
143519800,-52,58,-1063
144019800,-50,-39,-989
144519800,-44,-11,-1059
145019800,17,-72,-966
145519800,181,80,-1020
146019800,0,183,-1056
146519800,-156,83,-1042
147019800,-17,33,-1042
147519800,-66,-13,-991
148019800,-58,-48,-1063
148519800,78,-25,-962
149019800,150,128,-1007
149514900,-29,189,-1067
150014900,-173,62,-1022
150514900,-19,17,-1052
151014900,-52,-33,-1015
151514900,-29,-46,-1016
152014900,107,25,-974
152514900,144,136,-1048
153014900,-113,156,-1065
153514900,-156,60,-1020
154014900,21,-17,-1054
154514900,-93,-29,-1011
155014900,5,-29,-1030
155514900,171,7,-962
156014900,39,206,-1065
156514900,-122,128,-1044
157014900,-58,21,-1036
157283900,-35,19,-1044
157783900,-97,-93,-1013
158283900,89,-13,-1016
158783900,124,85,-938
159283900,56,189,-1112
159783900,-197,99,-997
160283900,-60,3,-1050
160783900,-21,-9,-1020
161283900,-91,-50,-1020
161783900,122,-21,-989
162283900,128,111,-1009
162783900,-62,191,-1075
163283900,-128,81,-1018
163783900,-5,11,-1036
164283900,-68,-17,-1020
164783900,-52,-105,-1015
165334600,181,33,-997
165834600,58,140,-997
166334600,-72,156,-1097
166834600,-124,66,-989
167334600,-19,-13,-1061
167834600,-72,-25,-1013
168334600,13,-56,-1007
168834600,175,50,-974
169334600,29,154,-1061
169834600,-107,142,-1075
170334600,-119,27,-993
170834600,13,9,-1063
171334600,-115,-64,-987
171834600,70,-31,-1016
172334600,191,72,-1007
172834600,-48,179,-1040
173169600,-109,109,-1056
173669600,-33,-1,-995
174169600,-42,19,-1069
174669600,-87,-76,-993
175169600,126,-19,-993
175669600,126,152,-1018
176169600,-74,140,-1067
176669600,-83,68,-1046
177169600,-74,9,-1011
177669600,-35,-21,-1052
178169600,-50,-70,-979
178669600,177,42,-1016
179169600,72,121,-1013
179669600,-119,177,-1069
180169600,-89,44,-1003
180669600,-7,-15,-1038
181234200,-93,-5,-1040
181734200,-13,-111,-972
182234200,238,93,-1046
182734200,-44,163,-985
183234200,-87,121,-1100
183734200,-60,42,-999
184234200,-58,-31,-1059
184734200,-70,-39,-1016
185234200,58,-52,-970
185734200,185,121,-1020
186234200,-50,150,-1040
186734200,-99,121,-1056
187234200,-80,9,-991
187734200,-19,-19,-1056
188234200,-74,-54,-999
188734200,97,-17,-979
189106100,179,124,-1056
189606100,-122,173,-1032
190106100,-80,83,-1038
190606100,-27,13,-1020
191106100,-76,-25,-1059
191606100,-31,-87,-983
192106100,185,27,-989
192606100,78,173,-1028
193106100,-160,121,-1056
193606100,-17,81,-1050
194106100,-105,-27,-991
194606100,-64,-13,-1056
195106100,17,-107,-944
195606100,204,83,-1032
196106100,-11,160,-1036
196606100,-122,132,-1046
197075200,-40,54,-1026
197575200,-50,-33,-1018
198075200,-56,-31,-1042
198575200,52,-68,-977
199075200,193,99,-1013
199575200,-58,181,-1042
200075200,-124,83,-1028
200575200,-3,35,-1048
201075200,-113,-25,-1024
201575200,-31,-46,-1020
202075200,121,-19,-950
202575200,142,152,-1059
203075200,-103,126,-1040
203575200,-68,78,-1046
204075200,-66,25,-1007
204575200,-70,-56,-1042
205073000,25,-33,-1009
205573000,107,-1,-974
206073000,128,175,-1085
206573000,-181,115,-1009
207073000,-27,66,-1044
207573000,-21,-3,-1022
208073000,-140,-56,-1034
208573000,56,-50,-987
209073000,177,66,-981
209573000,-9,181,-1069
210073000,-134,85,-1022
210573000,-5,39,-1069
211073000,-105,0,-1011
211573000,-74,-72,-1034
212073000,121,-9,-977
212573000,119,103,-1009
213032900,-46,156,-1069
213532900,-113,95,-1020
214032900,-31,27,-1034
214532900,-89,-21,-1030
215032900,-40,-60,-1026
215532900,130,-39,-979
216032900,115,160,-1044
216532900,-87,158,-1052
217032900,-97,62,-1003
217532900,-1,25,-1085
218032900,-150,-70,-995
218532900,33,-54,-1032
219032900,163,35,-940
219532900,40,162,-1075
220032900,-124,134,-1048
220532900,-62,52,-1020
220587800,-58,15,-1046
221087800,-122,-70,-1009
221587800,99,-54,-1005
222087800,128,60,-991
222587800,-13,171,-1057
223087800,-91,105,-1040
223587800,-31,72,-1020
224087800,-64,-29,-1050
224587800,-111,-76,-1018
225087800,107,-21,-1001
225587800,152,97,-985
226087800,-46,171,-1079
226587800,-117,81,-1003
227087800,-5,19,-1069
227587800,-130,0,-1016
228087800,-52,-93,-989
228885400,251,5,-1013
229385400,5,122,-999
229885400,-50,148,-1102
230385400,-103,62,-981
230885400,-23,39,-1067
231385400,-105,-66,-1007
231885400,3,-62,-1003
232385400,179,39,-1001
232885400,0,146,-1036
233385400,-68,142,-1069
233885400,-42,44,-985
234385400,-50,3,-1081
234885400,-142,-48,-999
235385400,76,-60,-991
235885400,191,109,-1005
236385400,-42,142,-1040
236699400,-76,109,-1065
237199400,-56,46,-1009
237699400,-80,-11,-1050
238199400,-85,-76,-987
238699400,163,11,-1015
239199400,78,81,-991
239699400,-64,181,-1069
240199400,-54,93,-1018
240699400,-62,11,-1022
241199400,-72,-11,-1077
241699400,-62,-117,-966
242199400,189,60,-1016
242699400,56,132,-999
243199400,-74,140,-1048
243699400,-39,89,-1040
244199400,-64,-11,-1042
244781600,-105,-15,-1038
245281600,-11,-91,-948
245781600,251,68,-1042
246281600,-13,142,-1024
246781600,-111,132,-1067
247281600,-27,60,-1009
247781600,-76,0,-1046
248281600,-80,-44,-1026
248781600,91,-81,-979
249281600,150,101,-1032
249781600,-70,152,-1024
250281600,-42,115,-1059
250781600,-44,46,-1009
251281600,-101,-44,-1075
251781600,-50,-56,-1007
252281600,97,-33,-954
252656900,191,136,-1059
253156900,-124,122,-997
253656900,-17,113,-1093
254156900,-70,17,-989
254656900,-126,-25,-1073
255156900,-7,-70,-960
255656900,181,0,-1024
256156900,50,144,-1026
256656900,-124,122,-1032
257156900,3,95,-1048
257656900,-95,7,-1009
258156900,-99,-52,-1073
258656900,31,-70,-962
259156900,162,60,-999
259656900,19,150,-1052
260156900,-111,101,-1018
260670400,-17,68,-1052
261170400,-101,-5,-1038
261670400,-83,-56,-1028
262170400,66,-52,-938
262670400,206,103,-1073
263170400,-74,136,-1015
263670400,-70,109,-1059
264170400,-15,48,-1022
264670400,-160,-37,-1024
265170400,-9,-44,-1044
265670400,105,-48,-948
266170400,119,150,-1048
266670400,-107,136,-1018
267170400,-9,83,-1042
267670400,-46,42,-1046
268170400,-197,-70,-1042
268461800,54,-46,-1015
268961800,121,11,-952
269461800,58,154,-1056
269961800,-85,122,-1030
270461800,-35,72,-1063
270961800,-64,17,-1028
271461800,-144,-76,-1015
271961800,60,-31,-989
272461800,158,35,-1011
272961800,-9,167,-1073
273461800,-122,109,-995
273961800,5,83,-1057
274461800,-107,-17,-1032
274961800,-99,-89,-1044
275461800,121,-27,-981
275961800,66,85,-983
276453500,5,175,-1095
276953500,-78,91,-977
277453500,-31,54,-1097
277953500,-165,-33,-1001
278453500,-17,-81,-1026
278953500,165,5,-958
279453500,74,103,-1044
279953500,-68,152,-1067
280453500,-76,91,-1007
280953500,-31,42,-1071
281453500,-179,-58,-991
281953500,40,-76,-1018
282453500,173,15,-993
282953500,-17,156,-1022
283453500,-70,124,-1042
283953500,-3,78,-1018
284483100,-81,15,-1057
284983100,-160,-74,-1020
285483100,87,-33,-1001
285983100,144,68,-981
286483100,-5,146,-1067
286983100,-58,103,-1022
