timestamp,x,y,z
15024700,-962,13,-1143
15524700,618,-374,-841
16024700,288,452,-1081
16524700,-950,48,-1159
17024700,577,-394,-817
17524700,357,450,-1104
18024700,-960,70,-1126
18524700,523,-407,-849
19024700,384,450,-1102
19524700,-981,76,-1104
20024700,511,-398,-880
20524700,409,409,-1061
21024700,-944,117,-1134
21524700,452,-402,-856
22024700,470,402,-1093
22524700,-997,140,-1097
23003400,450,-421,-897
23503400,486,378,-1069
24003400,-964,150,-1097
24503400,435,-404,-923
25003400,454,366,-1026
25503400,-919,187,-1132
26003400,355,-406,-895
26503400,509,329,-1056
27003400,-921,214,-1108
27503400,314,-394,-919
28003400,548,308,-1036
28503400,-901,232,-1110
29003400,318,-390,-938
29503400,542,271,-1015
30003400,-845,263,-1153
30503400,210,-392,-907
30884900,599,255,-1046
31384900,-839,269,-1114
31884900,173,-390,-927
32384900,622,238,-1030
32884900,-851,284,-1097
33384900,130,-374,-958
33884900,638,224,-1011
34384900,-833,306,-1124
34884900,78,-396,-938
35384900,708,208,-1034
35884900,-812,308,-1079
36384900,58,-382,-981
36884900,704,201,-1022
37384900,-778,322,-1061
37884900,13,-372,-1018
38384900,720,152,-985
38906700,-698,341,-1073
39406700,-56,-370,-1007
39906700,761,128,-1005
40406700,-732,353,-1050
40906700,-93,-366,-1048
41406700,743,95,-962
41906700,-691,366,-1048
42406700,-128,-331,-1067
42906700,724,62,-929
43406700,-616,398,-1083
43906700,-193,-325,-1042
44406700,767,31,-966
44906700,-595,413,-1054
45406700,-224,-314,-1069
45906700,765,0,-929
46406700,-546,421,-1056
46868700,-253,-283,-1075
47368700,747,-50,-929
47868700,-499,447,-1089
48368700,-363,-281,-1050
48868700,763,-70,-952
49368700,-474,454,-1056
49868700,-376,-251,-1079
50368700,776,-93,-929
50868700,-441,466,-1056
51368700,-443,-236,-1095
51868700,798,-109,-915
52368700,-388,489,-1069
52868700,-495,-253,-1079
53368700,849,-119,-952
53868700,-380,491,-1028
54368700,-497,-238,-1124
54783200,794,-148,-917
55283200,-324,480,-1026
55783200,-538,-214,-1143
56283200,790,-173,-895
56783200,-257,499,-1038
57283200,-618,-197,-1143
57783200,802,-171,-903
58283200,-240,495,-1003
58783200,-626,-177,-1184
59283200,776,-208,-868
59783200,-165,511,-1024
60283200,-651,-156,-1188
60783200,761,-224,-845
61283200,-93,507,-1054
61783200,-696,-152,-1167
62283200,726,-265,-866
62851800,-54,527,-1052
63351800,-759,-142,-1186
63851800,733,-283,-853
64351800,-25,507,-1048
64851800,-765,-91,-1175
65351800,687,-322,-843
65851800,25,530,-1067
66351800,-839,-70,-1147
66851800,708,-325,-858
67351800,64,497,-1036
67851800,-831,-60,-1171
68351800,708,-333,-854
68851800,111,509,-1042
69351800,-854,-44,-1169
69851800,692,-363,-849
70351800,150,515,-1050
70490800,-897,-48,-1167
70990800,724,-366,-878
71490800,134,527,-1013
71990800,-894,-37,-1200
72490800,636,-361,-847
72990800,193,491,-1036
73490800,-899,0,-1204
73990800,603,-384,-831
74490800,273,495,-1036
74990800,-944,15,-1196
75490800,622,-363,-853
75990800,284,464,-1011
76490800,-925,27,-1227
76990800,571,-386,-825
77490800,355,454,-1046
77990800,-958,35,-1210
78674800,544,-398,-819
79174800,409,443,-1059
79674800,-999,64,-1180
80174800,519,-404,-843
80674800,425,431,-1038
81174800,-1005,101,-1206
81674800,497,-407,-829
82174800,468,382,-1050
82674800,-987,148,-1190
83174800,441,-462,-841
83674800,527,423,-1065
84174800,-1030,132,-1167
84674800,433,-406,-845
85174800,558,386,-1032
85674800,-979,154,-1180
86174800,411,-407,-860
86574500,556,359,-1046
87074500,-999,179,-1177
87574500,368,-437,-854
88074500,587,353,-1050
88574500,-981,189,-1149
89074500,339,-425,-882
89574500,589,347,-1018
90074500,-950,214,-1184
90574500,267,-409,-860
91074500,620,306,-1026
91574500,-935,242,-1179
92074500,251,-415,-856
92574500,653,316,-1034
93074500,-921,244,-1180
93574500,214,-402,-878
