timestamp,x,y,z
138043200,44,124,-1018
138543200,-13,144,-1063
139043200,-226,25,-1056
139543200,-99,-95,-991
140043200,148,-25,-1028
140543200,31,25,-1018
141043200,7,81,-1015
141543200,58,165,-1013
142043200,-74,115,-1097
142543200,-242,-17,-1013
143043200,31,-78,-1013
143543200,107,13,-1011
144043200,-19,33,-1003
144543200,64,117,-1013
145043200,9,128,-1034
145543200,-154,89,-1089
146043200,-177,-54,-1032
146543200,27,-46,-974
147043200,93,25,-1032
147543200,-7,25,-993
148043200,87,128,-1050
148543200,-19,156,-1011
149043200,-189,54,-1104
149543200,-140,-76,-960
150043200,103,-33,-1042
150543200,50,19,-997
151043200,-23,78,-1003
151543200,119,163,-1040
152043200,-76,111,-1018
152543200,-210,5,-1079
153043200,-64,-87,-995
153543200,130,-3,-1034
154043200,-13,39,-985
154543200,37,89,-1022
155043200,72,144,-1042
155543200,-97,115,-1069
156043200,-210,-33,-1030
156543200,-5,-70,-974
157043200,113,-3,-1050
157543200,9,21,-1011
158043200,35,124,-1020
158543200,19,165,-1032
159043200,-154,80,-1069
159543200,-154,-52,-1046
160043200,39,-97,-960
160543200,121,40,-1063
161043200,-60,44,-958
161543200,124,150,-1046
162043200,-13,142,-1034
162543200,-238,37,-1073
163043200,-64,-78,-1007
163543200,64,-25,-999
164043200,17,35,-1009
164543200,27,44,-1018
165043200,93,162,-1038
165543200,-76,154,-1036
166043200,-214,-21,-1059
166543200,-29,-62,-1005
167043200,97,-31,-1016
167543200,29,29,-1020
168043200,-9,91,-979
168543200,103,171,-1061
169043200,-130,111,-1063
169543200,-212,-56,-1030
170043200,48,-48,-997
170543200,66,0,-1016
171043200,17,48,-1015
171543200,39,85,-989
172043200,50,197,-1081
172543200,-201,56,-1038
173043200,-136,-60,-1048
173543200,52,-46,-974
174043200,33,-5,-1028
174543200,48,58,-1044
175043200,37,128,-960
175543200,5,185,-1110
176043200,-230,21,-1026
176543200,-70,-80,-1050
177043200,64,-29,-979
177543200,27,7,-1050
178043200,9,91,-981
178543200,87,158,-1044
179043200,-66,117,-1050
179543200,-255,-5,-1054
180043200,17,-66,-1009
180543200,74,-23,-1007
181043200,-9,54,-1015
181543200,58,64,-1007
182043200,93,185,-1056
182543200,-171,117,-1050
183043200,-210,-66,-1003
183543200,70,-27,-1042
184043200,31,-29,-991
184543200,40,46,-1042
185043200,39,126,-960
185543200,19,179,-1081
186043200,-171,60,-1059
186543200,-179,-91,-1028
187043200,80,-19,-993
187543200,17,-13,-1018
188043200,19,95,-1011
188543200,78,103,-997
189043200,9,191,-1087
189543200,-275,23,-1034
190043200,-27,-85,-1018
190543200,60,-13,-999
191043200,0,-1,-1030
191543200,58,56,-1013
192043200,64,193,-1018
192543200,-103,128,-1054
193043200,-187,-5,-1050
193543200,3,-95,-1009
194043200,74,-1,-1016
194543200,-13,11,-999
195043200,70,122,-1024
195543200,42,163,-1022
196043200,-115,109,-1089
196543200,-234,-56,-995
197043200,72,-52,-1028
197543200,56,-9,-1011
198043200,-33,27,-1001
198543200,113,107,-1030
199043200,9,177,-1036
199543200,-201,89,-1077
200043200,-140,-93,-981
200543200,80,-23,-1030
201043200,5,-13,-1022
201543200,48,44,-1011
202043200,95,150,-1001
202543200,-66,169,-1071
203043200,-185,9,-1057
203543200,-58,-72,-999
204043200,95,-7,-1018
204543200,-1,-5,-1001
205043200,48,97,-1022
205543200,50,132,-1009
206043200,-85,146,-1083
206543200,-222,-17,-1030
207043200,7,-83,-987
207543200,89,33,-1030
208043200,-46,-7,-993
208543200,121,95,-1024
209043200,58,195,-1042
209543200,-204,85,-1048
210043200,-150,-50,-1036
210543200,46,-56,-1026
211043200,42,7,-1018
211543200,3,17,-977
212043200,111,165,-1036
212543200,-23,140,-1032
213043200,-169,54,-1100
213543200,-167,-72,-964
214043200,89,-42,-1032
214543200,19,3,-1009
215043200,23,44,-1015
215543200,101,142,-1003
216043200,-44,169,-1095
216543200,-232,5,-1020
217043200,-13,-72,-1007
217543200,66,-17,-1026
218043200,-17,0,-1026
218543200,64,89,-983
219043200,80,173,-1044
219543200,-146,130,-1044
220043200,-160,-60,-1073
220543200,19,-48,-979
221043200,29,-3,-1015
221543200,17,13,-1013
222043200,85,99,-989
222543200,50,187,-1073
223043200,-206,68,-1038
223543200,-136,-25,-1026
224043200,48,-56,-997
224543200,39,11,-1026
225043200,-11,3,-995
225543200,124,142,-1018
226043200,-7,171,-1065
226543200,-220,68,-1038
227043200,-80,-91,-1015
227543200,74,-39,-1018
228043200,0,-3,-1030
228543200,37,46,-968
229043200,111,162,-1044
229543200,-93,150,-1059
230043200,-197,-7,-1063
230543200,-15,-40,-993
231043200,33,-29,-993
231543200,42,17,-1044
232043200,40,56,-979
232543200,74,171,-1052
233043200,-121,122,-1069
233543200,-201,-19,-1026
234043200,39,-54,-1001
234543200,19,-17,-1024
235043200,9,19,-1026
235543200,99,97,-979
236043200,46,206,-1079
236543200,-244,64,-1030
237043200,-91,-72,-1054
237543200,56,-3,-1001
238043200,-9,-3,-1007
238543200,33,40,-995
239043200,107,136,-1036
239543200,-27,165,-1059
240043200,-234,27,-1038
240543200,-46,-54,-1009
241043200,46,-15,-999
241543200,5,1,-1036
242043200,42,39,-974
242543200,107,179,-1040
243043200,-89,148,-1071
243543200,-214,-5,-1022
244043200,-3,-74,-1015
244543200,50,1,-1028
245043200,-11,-15,-995
245543200,107,111,-1009
246043200,42,171,-1018
246543200,-130,105,-1095
247043200,-197,-46,-1005
247543200,58,-42,-1018
248043200,-1,-15,-991
248543200,29,29,-1050
249043200,113,93,-989
249543200,-13,203,-1061
250043200,-195,68,-1042
250543200,-93,-46,-1011
251043200,52,-21,-1026
251543200,-5,-44,-1018
252043200,21,44,-1003
252543200,126,148,-1013
253043200,-21,173,-1065
253543200,-265,35,-1024
254043200,-40,-80,-1016
254543200,83,-15,-1038
255043200,-58,0,-979
255543200,99,58,-1011
256043200,81,162,-1032
256543200,-121,132,-1087
257043200,-177,-5,-1011
257543200,0,-54,-999
258043200,50,17,-1026
258543200,-7,-37,-1013
259043200,99,105,-1013
259543200,17,165,-1026
260043200,-140,122,-1087
260543200,-165,-39,-1005
261043200,33,-50,-1024
261543200,23,-1,-1038
262043200,5,17,-981
262543200,142,119,-999
263043200,-15,185,-1057
263543200,-199,52,-1077
264043200,-103,-54,-1007
264543200,64,-15,-1022
265043200,-37,-11,-977
265543200,72,44,-1042
266043200,121,132,-1018
266543200,-76,173,-1059
267043200,-218,15,-1036
267543200,-5,-50,-1003
268043200,50,-11,-1030
268543200,-3,-27,-1026
269043200,60,74,-970
269543200,111,189,-1056
270043200,-126,117,-1040
270543200,-175,-13,-1046
271043200,-1,-52,-1011
271543200,42,-15,-1044
272043200,-9,15,-991
272543200,113,105,-997
273043200,56,175,-1071
273543200,-208,91,-1065
274043200,-130,-33,-1024
274543200,35,-54,-1005
275043200,0,21,-1036
275543200,25,-37,-995
276043200,162,144,-1015
276543200,-54,179,-1046
277043200,-162,66,-1077
277543200,-89,-60,-999
278043200,19,-31,-1024
278543200,5,-9,-1040
279043200,42,44,-977
279543200,128,158,-1040
280043200,-74,173,-1057
280543200,-228,0,-1061
281043200,5,-39,-1018
281543200,25,-19,-1007
282043200,-3,0,-1007
282543200,81,54,-983
283043200,111,177,-1075
283543200,-177,136,-1046
284043200,-160,-13,-1034
284543200,25,-33,-1007
285043200,5,-29,-1036
285543200,5,-15,-1020
286043200,111,95,-979
286543200,31,208,-1056
287043200,-173,80,-1065
287543200,-140,-46,-1011
288043200,23,-31,-1024
288543200,9,-29,-1026
289043200,21,13,-968
289543200,136,132,-1009
290043200,-11,162,-1089
290543200,-226,52,-1038
291043200,-42,-54,-1026
291543200,25,-11,-995
292043200,-21,0,-1034
292543200,89,7,-1022
293043200,111,154,-1026
293543200,-113,177,-1057
294043200,-187,11,-1036
294543200,29,-54,-1018
295043200,9,-9,-1030
295543200,-37,-31,-1009
296043200,136,95,-987
296543200,64,181,-1040
297043200,-132,115,-1071
297543200,-204,-33,-1009
298043200,19,-27,-1048
298543200,7,-23,-999
299043200,19,15,-1001
299543200,119,85,-999
300043200,35,179,-1085
300543200,-222,89,-1036
301043200,-103,-48,-1013
301543200,56,-29,-1009
302043200,-37,-23,-1032
302543200,46,0,-999
303043200,126,144,-1005
303543200,-46,204,-1079
304043200,-177,42,-1042
304543200,-64,-64,-1022
305043200,17,-21,-1040
305543200,-11,-40,-1011
