timestamp,x,y,z
11380700,-62,15,-972
11880700,74,60,-1061
12380700,-66,52,-1013
12880700,-33,21,-1026
13380700,89,50,-995
13880700,-52,72,-1044
14380700,-107,42,-1056
14880700,19,1,-981
15380700,80,76,-1054
15880700,-111,35,-1028
16380700,-11,40,-1028
16880700,33,66,-1018
17380700,-68,74,-1026
17880700,-46,7,-1036
18380700,56,50,-1001
18880700,3,68,-1057
19380700,-119,17,-1018
19880700,52,21,-995
20380700,68,64,-1024
20880700,-126,64,-1046
21380700,-50,27,-1003
21880700,70,52,-1028
22380700,-17,56,-1030
22880700,-80,11,-1020
23380700,58,52,-1015
23880700,-29,70,-1030
24380700,-99,52,-1050
24880700,25,21,-985
25380700,85,60,-1040
25880700,-89,85,-1054
26380700,-95,-13,-993
26880700,115,76,-1034
27380700,-46,19,-1020
27880700,-66,52,-1046
28380700,37,54,-997
28880700,5,54,-1042
29380700,-60,58,-1042
29880700,1,-1,-989
30380700,58,70,-1042
30880700,-126,56,-1048
31380700,-76,29,-1024
31880700,87,46,-995
32380700,19,74,-1036
32880700,-103,39,-1030
33380700,29,31,-999
33880700,23,60,-1057
34380700,-122,31,-1015
34880700,23,25,-1036
35380700,54,52,-995
35880700,-64,85,-1071
36380700,-78,21,-987
36880700,85,27,-1011
37380700,29,74,-1028
37880700,-175,25,-1036
38380700,23,40,-1026
38880700,37,52,-995
39380700,-33,70,-1056
39880700,-35,1,-976
40380700,87,85,-1044
40880700,-91,56,-1050
41380700,-103,25,-1009
41880700,76,29,-1005
42380700,31,66,-1040
42880700,-115,52,-1032
43380700,9,23,-1011
43880700,46,76,-1013
44380700,-52,44,-1042
44880700,-52,29,-1013
45380700,46,52,-1026
45880700,-37,58,-1050
46380700,-70,23,-1022
46880700,68,23,-985
47380700,42,80,-1067
47880700,-179,46,-1026
48380700,0,21,-1026
48880700,70,64,-991
49380700,-37,35,-1052
49880700,-31,44,-1020
50380700,31,23,-1005
50880700,-9,93,-1036
51380700,-119,11,-1011
51880700,72,44,-993
52380700,52,85,-1056
52880700,-154,29,-1036
53380700,-13,27,-1016
53880700,80,31,-999
54380700,-25,56,-1057
54880700,-111,39,-1013
55380700,46,50,-1026
55880700,1,80,-1018
56380700,-66,19,-1022
56880700,48,21,-1005
57380700,9,66,-1040
57880700,-115,50,-1073
58380700,-62,13,-979
58880700,140,72,-1020
59380700,-9,72,-1026
59880700,-101,37,-1048
60380700,42,19,-1003
60880700,-21,64,-1042
61380700,-62,23,-1040
61880700,0,25,-999
62380700,60,93,-1073
62880700,-117,37,-1005
63380700,5,39,-1034
63880700,70,31,-985
64380700,-19,76,-1067
64880700,-150,40,-1042
65380700,13,33,-1001
65880700,70,68,-1028
66380700,-72,40,-1042
66880700,19,46,-995
67380700,29,64,-1046
67880700,-107,62,-1036
68380700,-52,-5,-1005
68880700,93,52,-1024
69380700,-11,68,-1042
69880700,-121,50,-1036
70380700,33,42,-1003
70880700,33,50,-1005
71380700,-56,52,-1071
71880700,-87,23,-995
72380700,46,48,-1050
72880700,-48,72,-1028
73380700,-68,1,-1001
73880700,128,70,-1013
74380700,-40,54,-1038
74880700,-115,46,-1057
75380700,3,21,-989
75880700,76,56,-1024
76380700,-50,56,-1040
76880700,-40,15,-1011
77380700,40,66,-1018
77880700,-54,60,-1024
78380700,-54,29,-1024
78880700,64,46,-1011
79380700,19,76,-1054
79880700,-132,44,-1032
80380700,9,7,-991
80880700,93,46,-1032
81380700,-111,66,-1036
81880700,-64,31,-1040
82380700,31,46,-989
82880700,3,68,-1054
83380700,-87,9,-1005
83880700,66,52,-1036
84380700,-13,54,-1036
84880700,-126,48,-1046
85380700,1,35,-991
85880700,87,54,-1013
86380700,-40,99,-1081
86880700,-121,-3,-999
87380700,81,64,-1026
87880700,-29,37,-1016
88380700,-85,33,-1032
88880700,37,44,-1018
89380700,0,81,-1034
89880700,-64,64,-1032
90380700,-1,-7,-997
90880700,78,70,-1034
91380700,-99,48,-1050
91880700,-99,15,-1036
92380700,40,35,-979
92880700,58,80,-1046
93380700,-97,46,-1018
93880700,21,33,-1015
94380700,31,81,-1048
94880700,-119,13,-1020
95380700,1,23,-1022
95880700,62,68,-1015
96380700,-42,62,-1050
96880700,-72,52,-1011
97380700,60,19,-977
